,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
36,327285,0.5900000000000001,False,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,4,1.0,6.0,15,239.0,2,30,True,0,4,4.94,True,59.75,478.0,0.1,0.16,0.18,4.99,0.0,750.0
37,343094,1.0,False,Oud-Oost,52.35715,4.90926,Private room,2,1.0,1.0,4,100.0,3,30,True,3,4,4.89,True,50.0,300.0,0.08,0.15,0.18,4.99,0.0,750.0
38,367107,0.0,False,Centrum-Oost,52.36263,4.90216,Entire home/apt,2,1.0,1.0,11,182.0,5,30,True,5,0,5.0,False,91.0,910.0,0.06,0.19,0.2,4.99,0.0,750.0
39,367491,1.0,False,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,2,1.0,1.0,9,174.0,3,19,True,0,0,4.91,False,87.0,522.0,0.08,0.17,0.21,4.99,0.0,750.0
40,379885,0.64,False,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,2,1.0,1.0,13,297.0,3,180,True,5,1,4.66,True,148.5,891.0,0.11,0.13,0.2,4.99,0.0,750.0
41,396125,0.44000000000000006,False,Centrum-West,52.37824,4.88532,Private room,2,1.0,1.0,1,70.0,3,14,True,1,0,4.45,False,35.0,210.0,0.06,0.09,0.15,2.99,0.0,750.0
42,402353,0.98,False,Watergraafsmeer,52.35338,4.93407,Private room,2,1.0,1.0,6,139.0,2,1125,True,2,4,4.85,True,69.5,278.0,0.06,0.13,0.19,4.99,0.0,750.0
43,414865,0.0,False,Zuid,52.35043,4.84676,Entire home/apt,2,1.0,1.0,5,110.0,4,30,True,2,1,4.88,False,55.0,440.0,0.07,0.17,0.18,4.99,0.0,750.0
44,437757,1.0,True,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,2,1.0,1.0,5,145.0,3,7,True,0,1,4.63,False,72.5,435.0,0.07,0.16,0.18,4.99,0.0,750.0
45,438089,1.0,False,De Baarsjes - Oud-West,52.36116,4.86608,Private room,2,1.0,1.0,12,129.0,4,60,True,2,1,4.78,True,64.5,516.0,0.07,0.18,0.14,4.99,0.0,750.0
46,440992,0.62,False,Zuid,52.341621,4.849049,Entire home/apt,4,2.0,2.0,9,200.0,3,60,True,2,3,4.87,False,50.0,600.0,0.07,0.29,0.25,4.99,0.0,750.0
47,441424,0.92,False,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,4,3.0,3.0,6,150.0,3,30,True,0,0,4.55,False,37.5,450.0,0.06,0.26,0.15,4.99,0.0,750.0
48,446999,1.0,False,De Baarsjes - Oud-West,52.35927,4.86529,Private room,2,1.0,1.0,3,119.0,4,90,True,10,0,4.77,True,59.5,476.0,0.07,0.18,0.18,4.99,0.0,750.0
49,450767,1.0,True,Centrum-Oost,52.37006,4.90081,Entire home/apt,4,2.0,3.0,10,284.0,3,1125,True,0,3,4.63,False,71.0,852.0,0.11,0.21,0.25,4.99,0.0,750.0
50,462341,0.89,False,Centrum-West,52.3739,4.89263,Entire home/apt,2,3.0,2.0,14,176.0,3,20,True,0,1,4.97,False,88.0,528.0,0.07,0.21,0.2,4.99,0.0,750.0
51,505012,0.0,False,Centrum-Oost,52.36412,4.88757,Entire home/apt,4,3.0,5.0,7,299.0,3,30,True,1,0,4.72,False,74.75,897.0,0.14,0.27,0.35000000000000003,4.99,0.0,750.0
52,505650,0.8200000000000001,False,Zuid,52.35482,4.87438,Private room,3,2.0,3.0,6,140.0,3,21,True,0,2,4.96,False,46.67,420.0,0.05,0.19,0.19,4.99,0.0,750.0
53,508433,1.0,False,Geuzenveld - Slotermeer,52.37166,4.82951,Entire home/apt,4,2.0,3.0,14,375.0,3,30,True,6,1,4.86,False,93.75,1125.0,0.13,0.18,0.24,4.99,0.0,750.0
54,515749,0.76,False,Centrum-Oost,52.35902,4.89606,Private room,4,1.0,1.0,12,165.0,3,365,True,4,5,4.85,False,41.25,495.0,0.07,0.15,0.21,4.99,0.0,750.0
55,515921,0.10999999999999999,False,Zuid,52.35022,4.8525,Entire home/apt,4,2.0,1.0,4,165.0,3,30,True,1,0,4.19,False,41.25,495.0,0.08,0.18,0.19,4.99,0.0,750.0
56,517996,0.04000000000000001,False,Centrum-West,52.37827,4.88568,Entire home/apt,2,1.0,1.0,14,410.0,3,1125,True,28,0,4.67,True,205.0,1230.0,0.08,0.26,0.13,10.99,0.0,750.0
57,522471,0.5,False,Bos en Lommer,52.3774,4.851,Entire home/apt,4,3.0,5.0,8,180.0,8,25,True,0,0,4.96,False,45.0,1440.0,0.07,0.14,0.17,4.99,0.0,750.0
58,556829,0.6900000000000001,False,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,2,1.0,1.0,14,148.0,3,1125,True,5,1,4.68,False,74.0,444.0,0.07,0.12,0.2,4.99,0.0,750.0
59,568446,0.47000000000000003,False,Centrum-Oost,52.37079,4.90153,Entire home/apt,2,1.0,2.0,5,108.0,3,5,True,0,1,4.82,False,54.0,324.0,0.06,0.13,0.21,4.99,0.0,750.0
60,570753,0.35000000000000003,False,Zuid,52.34904,4.86765,Private room,3,1.0,2.0,1,75.0,4,30,True,6,1,4.87,False,25.0,300.0,0.06,0.11,0.17,4.99,0.0,750.0
61,575603,0.3600000000000001,False,Centrum-Oost,52.36112,4.89462,Entire home/apt,4,4.0,4.0,6,245.0,5,35,True,0,0,4.82,False,61.25,1225.0,0.03,0.25,0.3,4.99,0.0,750.0
62,582028,1.0,False,Slotervaart,52.36021571517094,4.843456508827677,Entire home/apt,3,1.0,1.0,5,211.0,5,17,True,5,0,4.8,False,70.33,1055.0,0.08,0.15,0.24,4.99,0.0,750.0
63,582382,0.5800000000000001,False,Oud-Noord,52.39442,4.91478,Entire home/apt,5,3.0,3.0,2,170.0,4,14,True,0,0,4.78,False,34.0,680.0,0.09,0.15,0.2,4.99,0.0,750.0
64,588020,0.65,False,Centrum-Oost,52.36918,4.91316,Entire home/apt,6,3.0,6.0,9,316.0,3,90,True,2,3,4.49,True,52.67,948.0,0.04,0.18,0.24,4.99,0.0,750.0
